,DATE,TOTAL BILLS,TOTAL AMOUNT
0,25-12-2020,67,30458.0
1,24-12-2020,100,36861.0
2,23-12-2020,118,40972.0
3,22-12-2020,141,44526.0
4,21-12-2020,150,49809.0
5,20-12-2020,379,107695.0
6,19-12-2020,258,65804.0
7,18-12-2020,136,50934.0
8,17-12-2020,125,41256.0
9,16-12-2020,134,36868.0
10,15-12-2020,170,44881.0
11,14-12-2020,147,40033.0
12,13-12-2020,402,110708.0
13,12-12-2020,228,69633.0
14,11-12-2020,100,33646.0
15,10-12-2020,132,60358.0
16,09-12-2020,107,40098.0
17,08-12-2020,120,44959.0
18,07-12-2020,137,41672.0
19,06-12-2020,144,59081.0
20,05-12-2020,114,41494.0
21,04-12-2020,96,47311.0
22,03-12-2020,87,48090.0
23,02-12-2020,89,29745.0
24,01-12-2020,97,31035.0
25,,3778,1247927.0
